pix   img                fit
1100  2.58188981306e-09  3.93582066059e-09
1101  2.39300534943e-09  3.74565810095e-09
1102  2.13137951732e-09  3.76802438475e-09
1103  2.02179073483e-09  3.90072853143e-09
1104  2.13736695009e-09  3.84525182303e-09
1105  2.28569985161e-09  3.73594482620e-09
1106  2.22736584732e-09  3.72042099907e-09
1107  2.35960895267e-09  3.72913301434e-09
1108  2.87640289365e-09  3.87011223009e-09
1109  3.25907834053e-09  4.10161700246e-09
1110  3.41524208913e-09  4.03484512786e-09
1111  3.80688813806e-09  3.76252600996e-09
1112  4.11243439302e-09  3.77124247910e-09
1113  3.84575304935e-09  3.92490465137e-09
1114  3.53703422107e-09  3.85098180067e-09
1115  3.58311846860e-09  3.73083543745e-09
1116  3.66883523562e-09  3.72158237572e-09
1117  3.75157016563e-09  3.73452020280e-09
1118  3.84980491930e-09  3.95427818911e-09
1119  3.61569996166e-09  4.29840728505e-09
1120  3.13030157351e-09  4.19518213891e-09
1121  2.88308621421e-09  3.79157474657e-09
1122  2.99082980604e-09  3.77580913639e-09
1123  3.18536375055e-09  3.95912050909e-09
1124  3.25846905014e-09  3.85695143892e-09
1125  2.99592084474e-09  3.72484360033e-09
1126  2.61495203269e-09  3.72553061986e-09
1127  2.52477372342e-09  3.74286307619e-09
1128  2.50529974544e-09  4.10014814745e-09
1129  2.38498332195e-09  4.64220446850e-09
1130  2.63134891654e-09  4.47748378215e-09
1131  3.51918516550e-09  3.84544543015e-09
1132  4.33832836322e-09  3.78314956675e-09
1133  4.24265644838e-09  4.01296396518e-09
1134  3.64921826090e-09  3.86378589943e-09
1135  3.39949823847e-09  3.72033604778e-09
1136  3.35970073984e-09  3.73774451075e-09
1137  2.98846414282e-09  3.75702111428e-09
1138  2.83585421812e-09  4.38391886752e-09
1139  3.75153330623e-09  5.32148486909e-09
1140  4.90254681296e-09  5.04260265130e-09
1141  5.01537122943e-09  3.95856485422e-09
1142  4.25855262165e-09  3.79685055211e-09
1143  3.45243122979e-09  4.11159563567e-09
1144  3.06692848895e-09  3.87305369420e-09
1145  3.11824654986e-09  3.72809311303e-09
1146  3.34383476464e-09  3.77784044539e-09
1147  3.54322371443e-09  3.78551788964e-09
1148  4.11125045119e-09  5.05236790869e-09
1149  4.74818317997e-09  6.96639344512e-09
1150  5.03840613675e-09  6.44511645884e-09
1151  5.53930412650e-09  4.25469441975e-09
1152  6.12803097155e-09  3.82886778057e-09
1153  5.49157963547e-09  4.34386363435e-09
1154  4.04854771929e-09  3.88975656934e-09
1155  3.24150328801e-09  3.80961511582e-09
1156  3.24983595590e-09  3.94557520136e-09
1157  4.19050616429e-09  3.86568984159e-09
1158  5.68530289513e-09  7.32423490631e-09
1159  7.25651627675e-09  1.28912392185e-08
1160  1.04848982829e-08  1.18002517067e-08
1161  1.39454749970e-08  5.48903137958e-09
1162  1.19309593316e-08  3.94860593793e-09
