File,Sir B x,Sir B y,B x rounded,B y rounded,Sir A x,Sir A y,diff x,diff y,sep
ibk703010_drz.fits,599.6792855,658.6082666,599.68,658.61,492.86,457.4,-106.82,-201.21,469.7076457
ibk703020_drz.fits,599.6712882,658.5894605,599.67,658.59,492.86,457.38,-106.81,-201.21,469.6858956
ibk703030_drz.fits,599.7282684,658.5403992,599.73,658.54,492.92,457.37,-106.81,-201.17,469.6761576
ibk703040_drz.fits,599.7052746,658.5333777,599.71,658.53,492.91,457.34,-106.8,-201.19,469.6446695
ibti03010_drz.fits,644.1252805,622.1660808,644.13,622.17,461.15,471.27,-182.98,-150.9,505.5463315
ibti03020_drz.fits,644.1406959,622.1462177,644.14,622.15,461.16,471.26,-182.98,-150.89,505.5370095
ibti03030_drz.fits,644.1529427,622.1666573,644.15,622.17,461.16,471.28,-182.99,-150.89,505.559273
ibti03040_drz.fits,644.1755291,622.2144862,644.18,622.21,461.19,471.31,-182.99,-150.9,505.587239
ic1k03010_drz.fits,649.9209554,623.5169426,649.92,623.52,459.64,468.97,-190.28,-154.55,506.1021036
ic1k03020_drz.fits,649.9413172,623.5121453,649.94,623.51,459.66,468.97,-190.28,-154.54,506.1021036
ic1k03030_drz.fits,649.9604392,623.5148919,649.96,623.51,459.7,469,-190.26,-154.51,506.122384
ic1k03040_drz.fits,650.0039046,623.5130738,650,623.51,459.71,468.99,-190.29,-154.52,506.124396
ica103010_drz.fits,373.2514138,453.6248988,373.25,453.62,591.22,587.94,217.97,134.32,627.0441488
ica103020_drz.fits,373.2416337,453.6138386,373.24,453.61,591.21,587.93,217.97,134.32,627.0347724
ica103030_drz.fits,373.1991789,453.5728075,373.2,453.57,591.17,587.86,217.97,134.29,626.9691384
ica103040_drz.fits,373.2047957,453.5550533,373.2,453.56,591.19,587.85,217.99,134.29,626.9667157
