pix   img                fit
1135  2.51300358300e-09  7.15626088974e-09
1136  2.49885645509e-09  7.47200227159e-09
1137  2.93857804756e-09  6.65911413230e-09
1138  3.74105413314e-09  6.08196296784e-09
1139  4.32538049822e-09  6.17597005555e-09
1140  4.44493641893e-09  6.15234659531e-09
1141  4.38512026690e-09  6.07323372906e-09
1142  4.17524326224e-09  6.13522142437e-09
1143  3.89318133287e-09  6.07147770520e-09
1144  3.70991704024e-09  6.63211315654e-09
1145  3.66630659165e-09  8.03222061412e-09
1146  3.30332006193e-09  8.17755960437e-09
1147  2.55352761158e-09  6.61834579638e-09
1148  2.39963493520e-09  6.19480028565e-09
1149  3.35699423815e-09  7.42251674733e-09
1150  4.10800682360e-09  7.59633730044e-09
1151  3.97151200815e-09  6.53704407794e-09
1152  4.01052879795e-09  6.07999476419e-09
1153  4.42140457579e-09  6.07542370111e-09
1154  4.44330217064e-09  6.53098518785e-09
1155  4.45339365385e-09  7.92405612254e-09
1156  5.21500265194e-09  7.87551313556e-09
1157  6.98309765568e-09  6.14407812809e-09
1158  1.01514956441e-08  8.05373201298e-09
1159  1.33297213267e-08  1.33085010283e-08
1160  1.29760184819e-08  1.34951142610e-08
1161  9.09058428533e-09  8.30163476636e-09
1162  5.75527181468e-09  6.08264633853e-09
1163  4.42027969783e-09  6.95081642852e-09
1164  4.43628245250e-09  6.31443370404e-09
1165  1.06350199758e-08  6.38505302621e-09
1166  2.96110709286e-08  6.75399879083e-09
1167  4.73609738094e-08  6.60808769014e-09
1168  4.35120099951e-08  2.02674402008e-08
1169  4.45089511913e-08  4.73234380614e-08
1170  6.83774317167e-08  4.69348429766e-08
1171  6.32651904198e-08  1.25201488283e-08
1172  4.93887135633e-08  2.21180615603e-08
1173  1.18512026859e-07  1.08707027442e-07
1174  1.86937597846e-07  1.59623790144e-07
1175  1.14880570834e-07  8.86266367289e-08
1176  2.09532871054e-08  8.11963927750e-09
1177  6.44602593525e-08  5.44963413614e-08
1178  1.38758906587e-07  1.51230691640e-07
1179  1.12790623064e-07  1.40848196701e-07
1180  6.23547364853e-08  4.66318199005e-08
1181  6.22221492108e-08  6.42674693855e-09
1182  5.91130877581e-08  3.93094403500e-08
1183  2.98821980493e-08  5.70365500008e-08
1184  1.71959086970e-08  3.21213964406e-08
1185  2.24983196517e-08  9.20406750367e-09
1186  1.91726936549e-08  6.44096977219e-09
1187  9.91637705283e-09  7.13548228315e-09
1188  5.73594993725e-09  6.07977714849e-09
1189  5.04640151888e-09  6.64526412504e-09
1190  4.38315517215e-09  6.29166764591e-09
1191  4.00019395386e-09  6.90204337923e-09
1192  4.93689400471e-09  1.17799135267e-08
1193  6.50736220464e-09  1.42379923687e-08
1194  6.75928557570e-09  9.87546701120e-09
1195  5.60267121585e-09  6.13757199984e-09
1196  4.84653384092e-09  7.41908107430e-09
1197  5.00705965578e-09  8.57010318160e-09
1198  5.06217068263e-09  7.19260400188e-09
1199  4.58818316673e-09  6.15536696517e-09
1200  4.09293932080e-09  6.07011443599e-09
1201  3.88275589458e-09  6.22177809691e-09
1202  3.62747343274e-09  7.10130653636e-09
1203  3.17188320054e-09  7.55876783323e-09
1204  2.72793232448e-09  6.51273989988e-09
1205  2.46122788816e-09  6.22514037093e-09
1206  2.38885999870e-09  7.79113870933e-09
1207  2.40999287193e-09  8.46241623845e-09
1208  2.73293632169e-09  7.17050123860e-09
1209  3.47295481262e-09  6.13795595925e-09
1210  4.00930666444e-09  6.13453849061e-09
1211  3.73849662338e-09  6.12556445593e-09
1212  3.19825144146e-09  6.08168009486e-09
1213  2.96024427193e-09  6.16935764704e-09
1214  2.88686075045e-09  6.07519257948e-09
