File,x (cubic),y (cubic),Derotate Angle,Padding [pix],Big,Shape,,big-shape,LLPad,URPad,unpad x,unpad y,cen,derot x,derot y
hst_05202_02_wfpc2_f439w_wf_drz.fits,1238.370919,1484.060476,-37.8531536,352,2405,1700,,705,352,353,886.3709188,1132.060476,1202,705.6344311,1095.029668
hst_05202_02_wfpc2_f555w_wf_drz.fits,1238.361019,1484.180342,-37.85315357,352,2405,1700,,705,352,353,886.3610187,1132.180342,1202,705.5530594,1095.118238
hst_05202_02_wfpc2_f675w_wf_drz.fits,1237.914946,1484.508839,-37.8531536,352,2405,1700,,705,352,353,885.9149462,1132.508839,1202,704.9992681,1095.103887
hst_05202_02_wfpc2_f814w_wf_drz.fits,1238.317105,1484.413136,-37.85315353,352,2405,1700,,705,352,353,886.3171054,1132.413136,1202,705.3755346,1095.275102
hst_05202_02_wfpc2_total_wf_drz.fits,1238.311776,1484.182952,-37.85315357,352,2405,1700,,705,352,353,886.3117761,1132.182952,1202,705.5125771,1095.090081
hst_05202_03_wfpc2_f439w_wf_drz.fits,1565.684003,1969.590672,-9.84939177,445,3041,2150,,891,445,446,1120.684003,1524.590672,1520,1043.104169,1525.778722
hst_05202_03_wfpc2_f555w_wf_drz.fits,1566.178666,1969.775862,-9.84939179,445,3041,2150,,891,445,446,1121.178666,1524.775862,1520,1043.559862,1526.045799
hst_05202_03_wfpc2_f675w_wf_drz.fits,1565.400521,1969.984875,-9.84939179,445,3041,2150,,891,445,446,1120.400521,1524.984875,1520,1042.757434,1526.118623
hst_05202_03_wfpc2_f814w_wf_drz.fits,1565.893569,1970.025583,-9.8493918,445,3041,2150,,891,445,446,1120.893569,1525.025583,1520,1043.236251,1526.243071
hst_05202_03_wfpc2_total_wf_drz.fits,1565.85403,1970.018095,-9.84939179,445,3041,2150,,891,445,446,1120.85403,1525.018095,1520,1043.198575,1526.22893
hst_05202_04_wfpc2_f439w_wf_drz.fits,1494.245551,1973.143475,10.65366369,445,3041,2150,,891,445,446,1049.245551,1528.143475,1520,1133.462983,1525.093746
hst_05202_04_wfpc2_f555w_wf_drz.fits,1494.024994,1973.487018,10.65366363,445,3041,2150,,891,445,446,1049.024994,1528.487018,1520,1133.309739,1525.472142
hst_05202_04_wfpc2_f675w_wf_drz.fits,1493.697601,1973.44845,10.65366367,445,3041,2150,,891,445,446,1048.697601,1528.44845,1520,1132.980859,1525.494765
hst_05202_04_wfpc2_f814w_wf_drz.fits,1494.280544,1973.42168,10.65366367,445,3041,2150,,891,445,446,1049.280544,1528.42168,1520,1133.548805,1525.360686
hst_05202_04_wfpc2_total_wf_drz.fits,1494.024909,1973.516026,10.65366363,445,3041,2150,,891,445,446,1049.024909,1528.516026,1520,1133.315018,1525.500666
hst_05700_01_wfpc2_f439w_wf_drz.fits,1439.533686,1526.074049,63.15737806,404,2758,1950,,808,404,404,1035.533686,1122.074049,1379,1133.56031,987.3988309
hst_05700_01_wfpc2_f555w_wf_drz.fits,1442.104016,1511.692527,63.15737803,404,2758,1950,,808,404,404,1038.104016,1107.692527,1379,1121.889006,978.6116013
hst_05700_01_wfpc2_f814w_wf_drz.fits,1425.406262,1529.638109,63.15737813,404,2758,1950,,808,404,404,1021.406262,1125.638109,1379,1130.361226,1001.613349
hst_05700_01_wfpc2_total_wf_drz.fits,1442.199932,1511.651175,63.15737803,404,2758,1950,,808,404,404,1038.199932,1107.651175,1379,1121.895419,978.5073481
hst_05700_02_wfpc2_f439w_wf_drz.fits,1118.515581,1203.563522,43.15317287,331,2263,1600,,663,331,332,787.5155813,872.5635218,1131,840.5221694,861.4758423
hst_05700_02_wfpc2_f555w_wf_drz.fits,1123.258497,1185.943379,43.15317282,331,2263,1600,,663,331,332,792.258497,854.9433791,1131,831.9309425,845.3775351
hst_05700_02_wfpc2_f814w_wf_drz.fits,1122.840183,1198.516127,43.15317286,331,2263,1600,,663,331,332,791.8401827,867.5161275,1131,840.2249157,854.8358117
hst_05700_02_wfpc2_total_wf_drz.fits,1123.288605,1185.957597,43.15317282,331,2263,1600,,663,331,332,792.2886049,854.9575974,1131,831.9626316,845.3673154
hst_05700_03_wfpc2_f439w_wf_drz.fits,1556.611508,1802.438217,83.16118129,445,3041,2150,,891,445,446,1111.611508,1357.438217,1520,1359.788263,1072.280789
hst_05700_03_wfpc2_f555w_wf_drz.fits,1564.875228,1793.781686,83.16118124,445,3041,2150,,891,445,446,1119.875228,1348.781686,1520,1352.177339,1063.045074
hst_05700_03_wfpc2_f814w_wf_drz.fits,1555.96338,1805.427452,83.16118129,445,3041,2150,,891,445,446,1110.96338,1360.427452,1520,1362.679053,1073.280253
hst_05700_03_wfpc2_total_wf_drz.fits,1564.909049,1793.786539,83.16118124,445,3041,2150,,891,445,446,1119.909049,1348.786539,1520,1352.186185,1063.012071
