Author,Instrument,Band,Separation mas),Separation Error,PA,PA Error,Epoch,JD,MJD,MJD,x (mas),x error(mas),"y ("")",y error (mas)
Chauvin+2009,10-11-03,Field/L/L27,413,22,34.42,3.52,2003 Nov 10,52953,2953,2953,233.5,22,340.7,22
Chauvin+2010,25-10-09,Field/L/L27,299,14,210.74,2.89,2009 Oct 25,55129,5129,5129,-152.8,14,-257,14
Chauvin+2011,29-12-09,ADI/L/L27,306,9,212.07,1.71,2009 Dec 29,55194,5194,5194,-162.5,9,-259.3,8
Chauvin+2012,10-04-10,ADI/Ks/S27,346,7,209.93,1.15,2010 Apr 10,55296,5296,5296,-172.6,7,-299.9,7
Chauvin+2013,28-09-10,ADI/L/L27,383,11,210.28,1.73,2010 Sept 28,55467,5467,5467,-193.1,11,-330.7,11
Chauvin+2014,16-11-10,ADI/Ks/S27,387,8,212.41,1.35,2010 Nov 16,55516,5516,5516,-207.4,8,-326.7,10
Chauvin+2015,17-11-10,ADI/L/S27,390,13,212.34,2.13,2010 Nov 17,55517,5517,5517,-208.6,13,-329.5,14
Chauvin+2016,01-02-11,ADI/Ks/S27,408,9,211.13,1.48,2011 Feb 01,55593,5593,5593,-210.9,9,-349.2,10
Chauvin+2017,26-03-11,ADI/Ks/S27,426,13,210.13,1.81,2011 Mar 26,55646,5646,5646,-213.8,12,-368.4,14
Nielson+2014,Gemini/NICI,CH4S (4%),323,10,209.3,1.8,2009 Dec 3,55168,5168,5168,-158.1,10,-281.7,10
Nielson+2015,Gemini/NICI,CH4L (4%),339,10,209.2,1.7,2009 Dec 3,55168,5168,5168,-165.4,10,-295.9,10
Nielson+2016,Gemini/NICI,KS ,407,5,212.9,1.4,2010 Dec 25,55555,5555,5555,-221.1,6.8,-341.7,8.8
Nielson+2017,Gemini/NICI,CH4S (1%),455,3,211.9,0.4,2011 Oct 20,55854,5854,5854,-240.4,3.1,-386.3,3.1
Nielson+2018,Gemini/NICI,Kcont,452,5,211.6,0.6,2011 Oct 20,55854,5854,5854,-236.8,4.9,-385,4.8
Nielson+2019,Gemini/NICI,CH4S (1%),447,3,210.8,0.4,2012 Mar 29,56015,6015,6015,-228.9,3,-384,3.1
Nielson+2020,Gemini/NICI,Kcont,448,5,211.8,0.6,2012 Mar 29,56015,6015,6015,-236.1,4.9,-380.8,4.8
Nielson+2021,Magellan/MagAO+Clio2,lots,461,14,211.9,1.2,2012 Dec 2,56263,6263,6263,-243.6,12.9,-391.4,11
Nielson+2022,Magellan/MagAO+VisAO,Ys,470,10,212,1.2,2012 Dec 4,56265,6265,6265,-249.1,10,-398.6,9.9
Bonnefoy+2014,GPI,J,430,10,211.6,1.3,2013 Dec 10,56636,6636,6636,-225.3,9.9,-366.2,9.8
Macintosh+2014,GPI,H,434,6,211.8,0.5,2013 Nov 18,56614,6614,6614,-228.7,5.5,-368.9,4.5
MB+2014,GPI,K1,,,,,2013 Nov 16,56612,6612,6612,,,,
MB+2014,GPI,K2,,,,,2013 Nov 16,56612,6612,6612,,,,
,GPI,H,,,,,2013 Nov 18,56614,6614,6614,,,,
Macintosh?,GPI,H,,,,,2013 Dec 11,56637,6637,6637,,,,
MB+2014,GPI,H-pol,428,,211.9,,2013 Dec 12,56638,6638,6638,-226.5,2.3,-363.9,2.3
,GPI,K1,,,,,2014 Mar 23,56739,6739,6739,,,,
,GPI,K2,,,,,2014 Mar 26,56742,6742,6742,,,,
,GPI,H,356,,213.21,,2014 Nov 08,56969,6969,6969,-195,2,-297.9,2
