Author,Instrument,Band,Separation,Sep. Err.,PA,PA Error,Epoch,MJD,MJD-50k,MJD-50k,x (mas),x err (mas),y (mas),y err (mas),Notes
,,,,,,,,54314,4314,4314,-179,5,-588,5,
,,,,,,,,54398,4398,4398,-175,10,-589,10,
,,,,,,,,54727,4727,4727,-202,4,-588,4,
,,,,,,,,55042,5042,5042,-237,3,-577,3,
,,,,,,,,55044,5044,5044,-250,7,-570,7,NOTE: might want to avoid fitting this point; very close to the previous epoch (Jul 30 09 vs Aug 1 09)
,,,,,,,,55136,5136,5136,-251,7,-573,7,
,,,,,,,,55390,5390,5390,-265,4,-576,4,
,,,,,,,,55499,5499,5499,-296,13,-561,13,
,,,,,,,,55763,5763,5763,-303,5,-562,5,
,,,,,,,,56130,6130,6130,-339,5,-555,5,
,,,,,,,,56266,6266,6266,-346,4,-548,4,
,,,,,,,,56581,6581,6581,-382,16,-522,6,
,,,,,,,,56855,6855,6855,-400,11,-534,11,
