Author,Instrument,Band,Separation,Sep. Err.,PA,PA Error,Epoch,MJD,,,x (mas),x err (mas),y (mas),y err (mas),Notes
,,,,,,,,55042,5042,5042,-306,7,-211,7,
,,,,,,,,55044,5044,5044,-318,10,-195,10,NOTE: might want to avoid fitting this point; very close to the previous epoch (Jul 30 09 vs Aug 1 09)
,,,,,,,,55136,5136,5136,-310,9,-187,9,
,,,,,,,,55390,5390,5390,-323,6,-166,6,
,,,,,,,,55499,5499,5499,-341,16,-143,16,
,,,,,,,,55763,5763,5763,-352,8,-130,8,
,,,,,,,,56130,6130,6130,-373,8,-84,8,
,,,,,,,,56266,6266,6266,-370,9,-76,9,
,,,,,,,,56581,6581,6581,-373,13,-17,13,
,,,,,,,,56855,6855,6855,-387,11,3,11,
